2024-02-01 16:02:43 INFO  HomePage :60 - Clicking on header Casino : [[[ChromeDriver: chrome on windows (a813d413170d3c3b61e256b81d0bf2c0)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (a813d413170d3c3b61e256b81d0bf2c0)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (a813d413170d3c3b61e256b81d0bf2c0)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (a813d413170d3c3b61e256b81d0bf2c0)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (a813d413170d3c3b61e256b81d0bf2c0)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (a813d413170d3c3b61e256b81d0bf2c0)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (a813d413170d3c3b61e256b81d0bf2c0)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (a813d413170d3c3b61e256b81d0bf2c0)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (a813d413170d3c3b61e256b81d0bf2c0)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 16:02:60 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:669 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:778 INFO  HomePage :53 - Clicking accept cookies: [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:822 INFO  HomePage :67 - Verifying Virgin Games Logo : [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //img[@alt='Virgin Games']]
2024-02-01 16:02:415 INFO  HomePage :60 - Clicking on header Slingo : [[[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (d5dbdabd5db4f91c7368ce81a4dd5ef9)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 16:02:433 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:271 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:361 INFO  HomePage :53 - Clicking accept cookies: [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:469 INFO  HomePage :67 - Verifying Virgin Games Logo : [[ChromeDriver: chrome on windows (689996278863192fdcfd7d7f8fca76c8)] -> xpath: //img[@alt='Virgin Games']]
